['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00002.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00002.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00002.npy', '民用 航空器 抵押 权 适用 民用 航空器 国籍 登记 国 法律', 21]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00003.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00003.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00003.npy', '拴 线 时 先 拴 左 腕 同时 要 举起 右手 拴 右 腕 时 要 举起 左手', 17]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00004.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00004.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00004.npy', '它 具有 保留 牙根 减 除 拔牙 痛苦 加强 牙根 功能 以及 使 义齿 稳定 不易 脱位 等 优点', 1]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00005.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00005.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00005.npy', '假如 被 雄 蝶 追赶 的 飞行物 不 往 地 上落 那末 雄 蝶 追 一会儿 也 就 不再 追 了', 8]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00006.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00006.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00006.npy', '乔 与 她 山西 相恋 共同 返 城 养老 育儿 又 双双 面临 待业 窘迫', 23]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00007.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00007.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00007.npy', '舱 外 两岸 一排排 一幢幢 古建筑 连绵 不断地 迎面 扑 来 又 迅速 隐没 在 我们 后面', 18]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00008.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00008.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00008.npy', '正 遭 日伪 扫荡 的 国民党 顽 军 韩 德勤 派人 与 我 联系 要求 率 其 部队 转 移到 我 淮安 根据地', 10]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00009.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00009.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00009.npy', '他们 用 砖头 木棍 酒瓶 等 袭击 全副武装 的 防暴 警察 警方 则 动用 马队 和 棍棒 予以 还击', 25]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00010.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00010.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00010.npy', '如同 广岛 和 奥斯维辛 集中营 一样 罗本 岛 应 被 宣布 为 一处 世界遗产', 12]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00011.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00011.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00011.npy', '西 安东 南 北城 门前 有许多 宣传牌 挂 一块 牌 一年 要 花 两 万元 我们 也 挂 了 一块', 11]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00012.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00012.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00012.npy', '亚硝胺 类 在 变质 的 食物 中 含 量比 较多 所以 应 少吃 些 腌 肉 腌菜 熏鱼 之类 的 食品', 5]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00013.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00013.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00013.npy', '最后 按 专业组 业余 青年 组 业余 中老年 组 分别 产生 冠军 三人 亚军 六人 季军 九 人', 0]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00014.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00014.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00014.npy', '我们 因为 信佛 而 念佛 因为 念佛 而 定力 得到 智慧 因此 我们 念佛 的 习惯 是 好习惯', 13]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00015.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00015.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00015.npy', '扎 依 采 夫 时装 不仅 女装 高雅 男装 也 新颖 不仅 表演 时装 别致 职业 女装 也 魅力 醉人', 20]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00016.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00016.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00016.npy', '进行 椎 管 注射 静脉 注射 等 应是 很 严格 很 慎重 的 因为 万一 用 错 药 就 很难 挽回', 7]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00017.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00017.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00017.npy', '像 大多数 革命 老区 一样 尖 山下 村 拥有 政治 光环 和 秀丽 景色 也 拥有 贫穷', 8]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00018.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00018.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00018.npy', '韩 电 位于 西北 电网 末端 其 安全生产 对 该 电网 稳定 运行 有 重要意义', 14]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00019.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00019.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00019.npy', '束 强 按照 父亲 所说 同 二林 何某 与 樟树市 烟草公司 的 柳某 在 昆明 某 饭店 洽谈 烟 价', 13]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00020.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00020.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00020.npy', '二 是 教书育人 系统 要 把 德育 有机 地 渗透 于 智育 之中 努力做到 德育 和 智育 的 统一', 15]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00021.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00021.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00021.npy', '企业 发行 企业 债券 所 筹 资金 应当 按照 审批 机关 批准 的 用途 用于 本 企业 的 生产 经营', 16]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00022.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00022.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00022.npy', '据 报 载 去年 某 住宅区 曾 有 女 房客 从 高层 楼宇 扔下 用 过 的 月经 纸 天女散花 般 飘飘 而 下', 2]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00023.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00023.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00023.npy', '像 大多数 革命 老区 一样 尖 山下 村 拥有 政治 光环 和 秀丽 景色 也 拥有 贫穷', 9]
['/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-spec-00024.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-mel-00024.npy', '/ssd1/npy_tacotron_THCHS_id_num_60/THCHS-wav-00024.npy', '天公 不 作美 当天 晚 开始 转阴 下雨 次日 清晨 仍 阴云 密布 人们 沮丧 地 准备 撤离', 19]
